,Message,Subject,Relation,Object,Label
183,"I'm not sure, but I can tell you he was one of many that one the John Newbery Medal.  Would you like to know some others?",John Newbery Medal,Category of,John Newbery Medal,1
184,Can you recommend another movie like Mission: Impossible - Rogue Nation?,Mission: Impossible - Rogue Nation,starred_actors,Tom Cruise,1
185,"Yes, He wrote Principle Centered Leadership and The Seven Habits of Highly Effective People. ",Principle Centered Leadership,release_year,1991,1
186,"I loved the book The Eye of the World but I can't remember, who wrote it?",The Eye of the World,written_by,Robert Jordan,1
187,Can you tell me who was in Memento?,Memento,written_by,Christopher Nolan,1
188,Neill Blomkamp is a great director. Do you some of his movies?,Neill Blomkamp,written_by,District 9,1
189,"I do! He directed Elysium and District 9, both great movies! District 9 is an Indie Film that blew it out of the park, have you seen it?",District 9,written_by,Terri Tatchell,1
190,Can you recommend a movie like Finding Nemo for my kids?,Finding Nemo,written_by,Andrew Stanton,1
191,Could you recommend books similar to The Picture of Dorian Gray?,The Picture of Dorian Gray,has_genre,Speculative fiction,1
192,Do you know Robert Stromberg? Tell me what you can about him?,Robert Stromberg,directed_by,Maleficent,1
193,Could you recommend any movies that has Dreama Walker in them?,Dreama Walker,starred_actors,Compliance (Crime Fiction Film),1
194,I love Fiction films. Does that one star Pat Healy?,Pat Healy,starred_actors,Compliance (Crime Fiction Film),1
195,"It was written by Peter Buchman, Michael Crichton and Alexander Payne.",Peter Buchman,written_by,Jurassic Park III,1
196,Could you recommend other movies like Yes Man?,Yes Man,written_by,Nicholas Stoller,1
197,I like Anne Hathaway. Have you seen her movies?,Anne Hathaway,starred_actors,The Princess Diaries 2: Royal Engagement,1
198,Do you have anything to say about Yann Martel?,Yann Martel,written_by,Life of Pi,1
199,What do you think about Rickie Fowler?,Rickie Fowler,Sport played,Golf,1
200,"Not really, I like the movie Happy Gilmore though. It has golf in it. ",Happy Gilmore,starred_actors,Adam Sandler,1
201,Do you know if Dani Alves played this past weekend in the soccer match?,Dani Alves,is-a,Athlete,1
202,"I liked the movie Forgetting Sarah Marshall, remind me who some of the stars are?",Forgetting Sarah Marshall,starred_actors,William Baldwin,1
203,"Sure, William Baldwin, Paul Rudd and Mila Kunis starred in Forgetting Sarah Marshall.",William Baldwin,starred_actors,Flatliners,1
204,I like Nellie Sciutto.  Can you recommend something similar?,Nellie Sciutto,starred_actors,Shutter Island,1
205,Sure! She starred in Shutter Island. Do you enjoy Psychological Thrillers?,Shutter Island,has_genre,Historical period drama,1
206,"I see. In that case you may enjoy ""Year One"" or ""Wild Wild West"" more. Have you seen those?",Wild Wild West,starred_actors,Will Smith,1
207,All I know of Wild Wild West is that Will Smith is in it. When did it come out?,Will Smith,starred_actors,Wild Wild West,1
208,All I know of Wild Wild West is that Will Smith is in it. When did it come out?,Wild Wild West,starred_actors,Bai Ling,1
209,It came out in 1999. It also stars Bai Ling.,Bai Ling,starred_actors,Red Corner,1
210,That's right.  I did see it a long time ago.  Wasn't Bai Ling in Red Corner?,Red Corner,starred_actors,Bai Ling,1
211,That's right.  I did see it a long time ago.  Wasn't Bai Ling in Red Corner?,Bai Ling,is-a,Actor,1
212,Could you recommend some books by John Kennedy Toole?,John Kennedy Toole,written_by,A Confederacy of Dunces,1
213,Do you know of a movie that's like The Lost World: Jurassic Park?,The Lost World: Jurassic Park,has_genre,Sci-Fi,1
214,Do you know Mindy Kaling? I would like to learn more about this author.,Mindy Kaling,Starring TV role,The Office,1
215,Do you know who stars in Mission: Impossible?,Mission: Impossible,starred_actors,Tom Cruise,1
216,"Yes, two of the more well known actors were Vanessa Redgrave and Tom Cruise.",Tom Cruise,written_by,Days of Thunder,1
217,I really like Tom Cruise movies. Didn't he write the movie Days of Thunder?,Days of Thunder,written_by,Tom Cruise,1
218,"Certainly, Cruise starred in Vanilla Sky and another one called The Last Samurai.",Vanilla Sky,Edited by,Joe Hutshing,1
219,Do you know  Roger Federer,Roger Federer,Sport played,Tennis,1
220,Yes I believe he is John Isner is also a tennis player,John Isner,Matches Lost,Tommy Robredo,1
221,"Yeah, you're right. I saw him lose a match recently to Tommy Robredo.",Tommy Robredo,has_person,Barcelona,1
222,Do you know Wladimir Klitschko?,Wladimir Klitschko,is-a,Boxer,1
223,Do you like the book The Cat in the Hat?,The Cat in the Hat,written_by,Dr. Seuss,1
224,"Oh my God, i love it!  Dr. Seuss was such a genius.",Dr. Seuss,written_by,Yertle the Turtle (Classic Seuss),1
225,I agree. Yertle the Turtle (Classic Seuss) is also a good one,Yertle the Turtle (Classic Seuss),release_year,1958,1
226,That was released in 1958. Seems like just yesterday.  What others do you like?,1958,release_year,Things Fall Apart,1
227,Things Fall Apart came out that same year,Things Fall Apart,written_by,Chinua Achebe,1
228,Chinua Achebe is a great writer,Chinua Achebe,Influenced By,Okey Ndibe,1
229,Could you recommend any movies directed by Catherine Hardwicke?,Catherine Hardwicke,directed_by,Red Riding Hood,1
230,"Harry Potter and the Half-Blood Prince, have you ever read it? Can you give me some information about it?",Harry Potter and the Half-Blood Prince,written_by,J.K. Rowling,1
231,Do you have any movies by Adam McKay? He's my favorite director!,Adam McKay,directed_by,The Other Guys,1
232,"Yes, I have The Other Guys and Step Brothers. Both are comedy movies.",The Other Guys,written_by,Chris Henchy,1
233,The Other Guys: Chris Henchy wrote that right? Was he the only writer?,Chris Henchy,written_by,The Other Guys,1
234,The Other Guys: Chris Henchy wrote that right? Was he the only writer?,The Other Guys,starred_actors,Tracy Morgan,1
235,"Yes, Chris Henchy wrote The Other Guys which stars by Tracy Morgan.",The Other Guys,has_genre,Comedy,1
236,"Do you know Hilda Rosner, tell me a little about her",Hilda Rosner,written_by,Siddhartha,1
237,"Sure, Hilda Rosner is a writer, she wrote Siddhartha which is genre fiction",Siddhartha,has_genre,Fiction,1
238,Have you read  Wyrd Sisters or Xenocide? They are both genre fiction books,Wyrd Sisters,written_by,Terry Pratchett,1
239,What do you think about Caroline Wozniacki?,Caroline Wozniacki,Sport played,Tennis,1
240,Do they speak German in Belgium?,Belgium,Place Musical Career Began,Philip Catherine,1
241,What do you think about Tom Brady?,Tom Brady,Spouse (or domestic partner),Gisele,1
242,"I don't know much about him. His wife, Gisele is on one of my favorite movies The Devil Wears Prada.",Gisele,Romantic relationship (with celebrities),Tom Brady,1
243,Could you recommend movies directed by David Gordon Green?,David Gordon Green,written_by,Snow Angels,1
244,He directed a bunch of movies such as Snow Angels and All the Real Girls. You want movies he wrote too?,Snow Angels,written_by,David Gordon Green,1
245,I like movies by director  Morten Tyldum. Do you have any suggestions?,Morten Tyldum,directed_by,The Imitation Game,1
246,"He directed The Imitation Game, which is a great film. He also directed Headhunters",The Imitation Game,starred_actors,Benedict Cumberbatch,1
247,I loved The Imitation Game. Did you know it starred Benedict Cumberbatch? Great actor.,Benedict Cumberbatch,starred_actors,The Fifth Estate,1
248,"Yes. I did. He IS a great actor, He was particularly powerful in his depiction of Julian Assange in The Fifth Estate, ",The Fifth Estate,has_genre,Thriller,1
249,I totally agree. The Fifth Estate is a great English Thriller film.,Thriller,has_genre,Young Sherlock Holmes,1
250,Do you like Die Hard with a Vengeance?,Die Hard with a Vengeance,written_by,Roderick Thorp,1
251,Do you know Alien?,Alien,has_genre,Horror,1
252,Can you tell me movies that David Lynch has directed?,David Lynch,written_by,Eraserhead,1
253,"He worked on Eraserhead, starring Charlotte Stewart. It's a great sci-fi. Do you like sci-fis?",Eraserhead,starred_actors,Jack Nance,1
254,Perhaps you would enjoy The Blob starring Kevin Dillon and Shawnee Smith.,Shawnee Smith,starred_actors,Saw III,1
255,Thats sounds interesting. doesnt Shawnee Smith starred in Saw III?,Saw III,starred_actors,Betsy Russell,1
256,Do you know who directed Pacific Rim?,Pacific Rim,starred_actors,Larry Joe Campbell,1
257,"Well, it has a solid cast. Including Larry Joe Campbell. Do you know him? ",Larry Joe Campbell,starred_actors,Wedding Crashers,1
258,"Yes, didn't he star in Wedding Crashers? I liked that movie too. What other movies has Larry Joe Campbell been in?",Wedding Crashers,starred_actors,Larry Joe Campbell,1
259,"Yes, didn't he star in Wedding Crashers? I liked that movie too. What other movies has Larry Joe Campbell been in?",Larry Joe Campbell,starred_actors,Pacific Rim (Science Fiction Film),1
260,Could you recommend movie similar to Star Trek?,Star Trek,starred_actors,Bruce Greenwood,1
261,Could you recommend movies directed by Martin McDonagh?,Martin McDonagh,directed_by,Seven Psychopaths,1
262,He directed Seven Psychopaths.  Gabourey Sidibe starred in it.,Seven Psychopaths,written_by,Martin McDonagh,1
263,Seven Psychopaths is one of my favorites! Who else besides Gabourey Sidibe is in that movie?,Seven Psychopaths,starred_actors,Kevin Corrigan,1
264,What do you know about San Francisco Giants?,San Francisco Giants,Team,Major League Baseball,1
265,"I know they are Major League Baseball, I'm not much of a baseball fan. What about you?",Major League Baseball,Team,New York Yankees,1
